date,MMM,AOS,ABT,ABBV,ABMD,ACN,ATVI,ADBE,AAP,AMD,AES,AFL,A,APD,AKAM,ALK,ALB,ARE,ALXN,ALGN,ALLE,LNT,ALL,GOOGL,GOOG,MO,AMZN,AMCR,AEE,AAL,AEP,AXP,AIG,AMT,AWK,AMP,ABC,AME,AMGN,APH,ADI,ANSS,ANTM,AON,APA,AAPL,AMAT,APTV,ADM,ANET,AJG,AIZ,T,ATO,ADSK,ADP,AZO,AVB,AVY,BKR,BLL,BAC,BAX,BDX,BRK.B,BBY,BIO,BIIB,BLK,BA,BKNG,BWA,BXP,BSX,BMY,AVGO,BR,BF.B,CHRW,COG,CDNS,CZR,CPB,COF,CAH,KMX,CCL,CARR,CTLT,CAT,CBOE,CBRE,CDW,CE,CNC,CNP,CERN,CF,SCHW,CHTR,CVX,CMG,CB,CHD,CI,CINF,CTAS,CSCO,C,CFG,CTXS,CME,CMS,KO,CTSH,CL,CMCSA,CMA,CAG,COP,ED,STZ,CPRT,GLW,CTVA,COST,CCI,CSX,CMI,CVS,DHI,DHR,DRI,DVA,DE,DAL,XRAY,DVN,DXCM,FANG,DLR,DFS,DISCA,DISCK,DISH,DG,DLTR,D,DPZ,DOV,DOW,DTE,DUK,DRE,DD,DXC,EMN,ETN,EBAY,ECL,EIX,EW,EA,EMR,ENPH,ETR,EOG,EFX,EQIX,EQR,ESS,EL,ETSY,RE,EVRG,ES,EXC,EXPE,EXPD,EXR,XOM,FFIV,FB,FAST,FRT,FDX,FIS,FITB,FRC,FE,FISV,FLT,FLIR,FMC,F,FTNT,FTV,FBHS,FOXA,FOX,BEN,FCX,GPS,GRMN,IT,GNRC,GD,GE,GIS,GM,GPC,GILD,GPN,GL,GS,GWW,HAL,HBI,HIG,HAS,HCA,PEAK,HSIC,HES,HPE,HLT,HFC,HOLX,HD,HON,HRL,HST,HWM,HPQ,HUM,HBAN,HII,IEX,IDXX,INFO,ITW,ILMN,INCY,IR,INTC,ICE,IBM,IFF,IP,IPG,INTU,ISRG,IVZ,IPGP,IQV,IRM,JBHT,JKHY,J,SJM,JNJ,JCI,JPM,JNPR,KSU,K,KEY,KEYS,KMB,KIM,KMI,KLAC,KHC,KR,LB,LHX,LH,LRCX,LW,LVS,LEG,LDOS,LEN,LLY,LNC,LIN,LYV,LKQ,LMT,L,LOW,LUMN,LYB,MTB,MRO,MPC,MKTX,MAR,MMC,MLM,MAS,MA,MXIM,MKC,MCD,MCK,MDT,MRK,MET,MTD,MGM,MCHP,MU,MSFT,MAA,MHK,TAP,MDLZ,MPWR,MNST,MCO,MS,MSI,MSCI,NDAQ,NTAP,NFLX,NWL,NEM,NWSA,NWS,NEE,NLSN,NKE,NI,NSC,NTRS,NOC,NLOK,NCLH,NOV,NRG,NUE,NVDA,NVR,NXPI,ORLY,OXY,ODFL,OMC,OKE,ORCL,OTIS,PCAR,PKG,PH,PAYX,PAYC,PYPL,PENN,PNR,PBCT,PEP,PKI,PRGO,PFE,PM,PSX,PNW,PXD,PNC,POOL,PPG,PPL,PFG,PG,PGR,PLD,PRU,PTC,PEG,PSA,PHM,PVH,QRVO,QCOM,PWR,DGX,RL,RJF,RTX,O,REG,REGN,RF,RSG,RMD,RHI,ROK,ROL,ROP,ROST,RCL,SPGI,CRM,SBAC,SLB,STX,SEE,SRE,NOW,SHW,SPG,SWKS,SNA,SO,LUV,SWK,SBUX,STT,STE,SYK,SIVB,SYF,SNPS,SYY,TMUS,TROW,TTWO,TPR,TGT,TEL,TDY,TFX,TER,TSLA,TXN,TXT,BK,CLX,COO,HSY,MOS,TRV,DIS,TMO,TJX,TSCO,TT,TDG,TRMB,TFC,TWTR,TYL,TSN,USB,UDR,ULTA,UAA,UA,UNP,UAL,UPS,URI,UNH,UHS,UNM,VLO,VTR,VRSN,VRSK,VZ,VRTX,VFC,VIAC,VTRS,V,VNO,VMC,WRB,WBA,WMT,WM,WAT,WEC,WFC,WELL,WST,WDC,WU,WAB,WRK,WY,WHR,WMB,WLTW,WYNN,XEL,XLNX,XYL,YUM,ZBRA,ZBH,ZION,ZTS
2016-05-22,10,37,6,4,0,21,7,6,5,9,18,7,17,0,9,0,5,16,6,8,24,27,22,20,24,21,10,0,17,2,18,14,53,9,24,41,32,0,29,0,0,0,19,23,5,12,26,0,42,0,23,0,16,12,14,0,30,0,0,0,0,23,13,0,13,16,11,18,5,1,0,19,0,23,7,2,34,0,15,11,12,0,0,7,26,7,0,0,0,38,0,0,25,22,15,9,29,65,9,12,29,25,17,27,21,14,0,26,31,0,23,0,24,11,27,5,10,22,0,28,16,5,38,22,0,21,13,10,16,25,0,4,3,37,57,3,0,14,0,5,26,5,0,0,23,19,39,27,3,0,5,14,17,19,11,0,0,5,27,0,9,5,4,38,0,30,10,0,13,0,16,28,2,15,0,33,37,0,0,33,12,31,9,23,0,1,22,9,0,5,32,0,3,33,14,0,0,0,0,9,9,51,25,0,11,0,16,14,42,10,0,6,10,18,14,33,8,26,22,17,13,8,0,32,100,3,36,0,34,21,61,0,0,37,12,8,9,17,16,17,39,9,9,26,6,12,29,0,30,0,8,4,0,0,0,4,0,0,23,30,15,25,6,9,11,20,31,32,10,1,44,0,5,11,40,0,0,0,20,11,10,0,14,25,0,7,3,0,21,29,20,0,19,24,18,4,0,8,9,45,15,15,8,7,9,50,18,16,10,0,2,13,6,5,0,0,23,0,0,9,0,9,11,14,0,40,18,15,16,0,0,3,0,6,18,27,0,27,0,1,11,22,3,5,17,18,7,2,19,20,5,12,4,9,0,17,0,0,10,4,39,0,13,0,16,4,13,15,0,7,10,6,12,2,34,14,0,0,26,21,10,22,65,0,0,7,0,0,0,0,0,31,0,9,17,24,13,0,0,0,24,10,1,13,6,0,10,35,9,9,5,7,1,12,28,16,3,11,26,0,0,0,13,13,11,25,10,0,3,0,33,31,0,18,0,2,16,0,13,9,0,24,18,11,14,5,8,19,8,8,15,0,25,25,9,41,0,12,0,31,26,1,16,8,10,0,0,18,16,0,0,21,4,10,0,0,36,39,24,60,14,18,31,21,7,8,15,0,45,1,0,32,13,13,57,0,5,15,9,23,13,0,13,0,0
2016-05-29,2,0,2,8,16,11,8,4,23,11,18,22,17,0,0,5,5,16,0,0,24,27,25,11,20,19,8,0,17,2,37,8,44,9,64,52,13,0,23,1,0,16,0,12,7,8,9,0,11,3,0,0,10,0,9,15,8,0,0,0,11,19,13,0,4,14,9,13,20,2,0,0,0,6,13,21,0,0,15,6,18,0,5,25,9,0,0,0,24,19,5,0,0,44,15,9,20,28,0,0,17,24,0,14,14,14,0,13,18,0,12,9,12,14,0,5,15,11,0,29,10,12,19,33,0,26,13,11,0,10,9,7,3,57,47,3,12,27,0,3,0,3,1,0,19,22,20,29,6,0,4,19,9,6,10,0,0,6,28,0,9,26,2,15,0,30,10,2,38,28,0,29,3,23,0,25,37,11,38,33,8,16,7,12,0,3,22,9,16,7,11,1,3,33,15,12,0,0,6,8,17,38,16,0,14,0,6,10,33,10,14,6,10,19,5,0,4,17,11,19,16,8,0,32,32,0,24,0,30,9,52,0,0,30,12,8,17,17,0,34,20,13,9,26,9,20,24,0,35,21,8,9,0,0,0,0,16,0,22,0,14,41,6,0,11,25,20,13,5,5,24,0,4,11,20,0,0,3,0,13,11,0,7,17,10,7,3,0,15,14,15,0,0,6,15,4,0,8,37,11,0,16,8,7,14,8,18,19,7,34,2,7,7,4,0,15,33,13,0,27,12,9,15,0,0,16,6,0,16,0,0,3,0,11,9,18,0,15,0,0,9,9,7,5,9,22,22,1,20,0,9,15,0,0,0,22,9,0,6,3,65,0,10,0,0,2,8,20,55,7,12,8,17,2,21,12,13,0,9,0,10,22,11,5,0,9,0,11,0,0,0,22,0,1,41,0,27,0,13,19,48,10,0,26,4,0,10,36,11,9,4,15,0,16,28,12,4,12,15,14,15,0,0,0,0,9,22,0,3,0,17,32,0,18,0,2,8,17,19,5,22,48,6,0,10,5,2,5,8,8,0,0,13,25,13,22,0,9,0,36,13,0,8,8,11,0,0,18,33,0,0,10,21,10,0,0,47,0,12,0,17,7,18,14,28,10,8,0,38,0,0,11,13,0,29,24,8,31,3,0,9,0,0,3,29
2016-06-05,16,19,6,21,0,19,5,8,14,9,18,7,16,24,43,3,5,16,11,0,71,13,19,18,13,16,5,0,17,2,12,8,40,4,8,57,15,6,29,2,6,0,0,15,6,9,7,0,5,3,23,0,28,12,14,15,8,22,0,0,11,27,0,12,6,9,12,28,5,2,0,19,0,17,22,8,11,57,15,6,0,5,0,18,9,7,0,5,0,18,5,0,0,7,10,27,10,56,0,47,21,26,8,27,7,14,0,11,19,10,23,8,0,14,31,7,15,22,0,27,36,12,0,22,0,25,4,15,63,19,0,7,7,37,55,3,0,23,5,5,17,0,1,0,27,3,6,29,3,0,4,28,0,0,11,0,0,5,30,31,9,5,3,8,0,15,21,0,25,14,16,32,3,30,0,31,18,10,0,0,12,16,8,20,0,5,15,28,0,3,32,3,0,16,16,0,0,0,0,10,10,39,7,0,12,0,19,13,32,9,14,6,0,18,12,0,15,9,45,18,16,10,12,0,54,0,12,0,23,4,51,21,0,24,0,23,9,17,0,34,10,22,28,10,5,14,30,7,19,10,0,0,7,0,0,4,16,15,18,100,18,5,6,0,0,31,39,39,10,5,44,12,2,22,13,0,5,0,0,6,26,12,0,17,10,14,3,0,18,20,18,0,0,18,21,7,0,10,9,0,37,11,0,7,16,34,10,14,20,34,1,7,4,4,0,0,19,0,0,18,0,25,22,23,19,0,8,0,20,0,23,2,0,7,73,14,0,27,0,1,13,31,7,5,17,22,7,1,0,0,2,9,4,0,0,4,9,7,11,3,39,20,19,0,48,3,13,42,0,22,2,9,12,9,14,15,13,0,14,29,36,15,43,0,0,5,0,6,57,0,0,26,0,4,17,0,13,0,13,0,24,0,1,13,4,0,13,19,12,19,5,7,2,20,0,16,3,34,22,0,15,0,0,0,5,13,43,0,0,0,16,13,0,18,0,3,5,8,19,5,22,12,6,0,8,7,4,0,17,25,0,0,23,25,9,32,0,5,0,47,26,1,10,8,9,0,0,18,49,0,0,11,12,0,0,0,30,19,24,0,14,11,10,14,7,8,11,0,13,0,0,0,20,22,50,0,4,0,0,0,25,0,38,0,29
2016-06-12,6,19,3,4,8,13,5,8,4,10,18,15,17,12,0,11,19,14,0,0,23,0,25,14,22,10,6,0,0,2,36,8,13,4,32,56,21,3,17,1,0,0,0,19,1,9,9,0,21,0,23,0,17,12,0,26,8,22,0,0,11,24,13,0,2,3,9,13,0,2,0,0,0,11,9,4,11,0,29,6,0,3,0,18,9,14,0,0,0,20,14,16,12,29,10,9,19,9,9,12,15,40,17,27,14,0,31,17,23,10,0,8,24,12,19,7,15,11,19,24,19,2,19,16,0,22,9,8,31,8,9,0,10,19,43,3,12,9,0,0,17,0,1,0,11,15,6,26,3,30,5,5,13,0,21,0,8,11,31,31,9,5,3,15,0,0,10,0,0,14,16,22,3,26,0,18,37,0,0,0,10,31,8,19,12,2,7,9,16,13,10,1,3,49,15,0,0,0,0,10,7,60,9,0,13,0,25,11,9,10,28,6,0,55,17,0,7,17,33,18,19,13,12,47,34,0,0,0,33,29,10,0,0,8,12,15,34,50,0,19,19,13,9,16,10,15,21,0,23,10,0,4,0,10,0,7,0,0,25,20,10,30,8,19,11,39,36,19,10,6,33,0,1,24,13,0,0,0,0,15,21,0,14,8,0,14,0,23,19,24,18,0,19,12,19,10,0,10,9,23,30,15,0,15,5,25,8,19,23,0,1,20,6,9,0,15,28,26,0,18,0,30,7,42,0,0,10,10,19,0,0,5,0,9,27,14,18,15,0,0,15,52,7,5,8,15,35,1,19,20,5,14,3,0,15,17,9,0,4,4,13,0,10,0,48,3,5,17,0,7,5,6,16,7,14,14,13,0,14,28,15,43,11,0,5,9,45,0,68,0,0,22,16,7,23,0,0,31,0,0,0,10,1,0,4,0,13,22,7,9,5,15,1,12,14,17,5,0,17,27,44,9,0,26,16,0,17,0,6,0,21,12,14,0,5,2,10,16,13,0,0,36,12,11,13,2,6,5,0,0,0,0,41,25,9,46,0,7,0,38,19,2,8,8,8,35,0,28,0,0,0,16,8,20,0,0,41,0,0,30,19,9,17,21,20,8,13,0,24,3,0,10,46,9,57,0,6,45,0,0,24,0,13,1,29
2016-06-19,7,0,5,12,0,22,9,26,14,16,9,0,18,25,17,4,14,17,11,0,0,41,21,22,26,28,8,0,17,5,12,19,51,0,57,37,44,0,24,0,0,0,7,12,9,10,5,0,11,6,0,0,21,36,0,27,0,0,0,0,21,40,13,24,20,8,9,13,15,3,0,0,19,11,15,6,23,0,0,0,18,0,0,11,0,28,1,0,0,28,0,0,13,15,5,36,40,28,0,24,24,23,8,42,43,28,0,14,26,0,0,21,25,12,12,10,20,22,10,35,23,12,20,11,0,23,9,20,40,17,18,14,10,19,47,4,0,37,10,3,35,5,0,0,31,9,13,34,10,0,9,19,13,0,15,0,17,17,30,11,0,21,4,31,2,30,21,0,25,14,65,27,3,23,0,44,75,0,0,33,10,16,9,22,0,13,15,10,33,7,11,4,3,33,18,0,0,0,6,15,19,52,16,0,16,10,6,18,47,9,28,5,11,0,33,17,9,0,23,15,23,10,0,48,32,7,12,17,25,30,42,0,0,16,38,15,35,34,0,17,10,18,9,21,6,20,32,14,35,31,8,4,13,0,0,7,16,0,29,10,19,31,11,10,6,30,32,26,10,4,50,38,6,29,7,0,14,3,20,15,32,12,28,0,0,14,3,12,20,20,19,0,10,6,33,20,0,10,28,12,23,21,8,22,12,26,21,33,20,34,2,34,9,7,23,0,23,13,0,18,0,30,22,28,0,0,11,0,30,0,48,2,0,8,0,32,37,16,0,0,17,22,0,5,9,11,51,1,0,21,5,15,0,0,30,40,0,15,3,4,26,10,36,21,16,3,34,22,28,15,10,10,25,14,14,16,13,0,23,15,10,22,22,21,0,8,0,6,23,0,0,19,16,6,29,24,0,32,13,0,0,21,1,0,3,0,16,20,11,38,8,23,0,20,14,19,6,12,24,0,0,18,0,7,0,30,15,38,0,0,13,13,0,18,0,5,13,25,26,0,0,0,12,32,11,2,10,9,17,0,0,0,38,25,22,32,29,9,0,39,7,1,19,8,16,18,0,25,25,0,24,28,8,10,0,0,38,0,0,31,31,13,28,22,35,12,5,0,32,3,0,11,67,14,44,0,4,15,3,0,11,11,13,1,29
2016-06-26,11,19,4,8,8,38,11,4,5,13,9,30,16,12,0,4,14,16,11,0,0,27,24,33,29,32,9,0,17,4,19,6,27,18,73,100,22,6,42,1,12,0,33,8,7,12,12,0,27,6,0,0,21,36,5,30,8,0,0,0,22,40,13,36,9,1,11,8,0,3,0,60,19,6,17,8,23,0,15,0,6,0,10,40,0,14,2,6,0,25,5,0,0,29,41,9,30,66,28,0,20,28,26,42,22,0,48,27,35,21,23,26,25,15,16,20,30,33,50,43,17,12,0,28,0,19,18,14,56,15,9,22,14,0,42,4,0,18,5,3,9,3,0,0,43,22,33,33,3,31,11,28,30,13,12,0,34,11,33,11,27,21,2,15,2,0,21,0,0,0,33,39,2,47,0,36,19,21,19,34,15,16,11,24,0,7,15,29,0,10,22,1,3,33,24,24,0,0,0,16,14,42,14,14,16,0,35,22,28,12,57,5,0,0,23,0,13,17,46,19,13,5,0,16,60,0,49,0,22,17,21,0,0,30,25,8,44,0,8,26,20,14,0,16,12,17,35,0,23,31,16,9,14,0,0,0,16,0,24,10,20,36,15,0,11,30,38,60,10,2,56,0,5,20,21,0,5,0,0,15,5,0,14,9,20,21,0,12,23,22,21,0,10,12,29,10,0,12,18,35,15,13,16,0,12,26,19,14,37,0,1,21,12,8,0,0,19,80,0,37,37,49,11,10,20,8,17,5,10,52,0,6,33,27,37,14,0,16,0,0,9,22,0,7,0,32,29,1,10,21,9,15,4,0,0,27,9,0,15,2,13,10,10,10,0,4,29,27,0,23,39,10,88,21,56,27,0,11,24,22,21,22,0,0,5,5,23,12,46,0,0,29,33,8,47,0,14,32,13,19,49,10,1,26,4,0,8,33,13,9,7,23,1,16,14,21,3,59,22,42,15,0,0,20,11,4,12,0,6,0,16,45,0,0,5,4,16,34,33,12,0,98,13,0,12,9,20,19,17,17,0,0,34,0,36,42,0,8,0,50,53,1,15,0,12,36,0,22,17,28,25,29,17,20,0,0,51,20,49,0,18,15,32,0,49,17,22,25,30,9,4,11,54,23,66,24,7,62,9,71,16,11,0,1,0
2016-07-03,7,59,4,2,8,17,10,4,24,8,0,8,15,13,9,6,0,14,12,0,25,14,18,13,20,23,5,0,0,4,13,3,32,5,76,44,18,0,6,3,13,0,14,4,4,8,7,0,28,3,0,0,15,12,10,13,8,24,0,0,0,24,0,6,9,6,9,6,16,2,0,62,20,6,10,8,12,30,16,0,0,3,0,15,0,7,0,6,0,19,10,0,27,30,11,28,0,20,0,25,12,25,0,58,15,29,0,8,23,11,12,18,64,5,20,8,26,0,0,24,14,10,41,17,0,19,5,10,41,13,0,22,0,0,37,4,12,29,5,0,0,3,0,0,20,23,14,26,7,0,5,15,4,0,16,0,18,6,36,0,9,16,2,0,0,31,15,0,40,0,51,25,3,12,0,28,19,11,20,0,10,33,7,26,0,4,8,10,17,14,11,1,0,9,14,0,36,0,0,9,18,27,17,43,11,0,17,14,34,11,15,4,0,19,23,0,2,0,12,14,7,5,0,17,31,0,38,0,19,22,0,0,0,31,52,16,27,0,8,32,10,19,10,28,7,22,20,7,36,0,0,5,0,22,0,8,17,0,15,21,16,22,7,10,6,27,31,34,5,7,50,0,2,9,7,0,0,5,0,16,28,0,7,13,0,22,0,0,17,21,20,0,0,0,15,10,0,6,10,0,39,14,0,8,9,18,36,17,53,0,1,0,6,4,24,0,20,28,0,0,0,29,23,5,0,0,9,0,21,0,25,3,0,8,48,19,0,24,0,0,2,14,4,6,18,19,23,1,0,0,10,8,0,0,31,28,0,0,6,3,14,0,34,0,17,4,17,12,29,31,18,8,22,17,14,23,0,0,12,15,27,31,11,0,5,4,0,18,36,0,0,25,17,11,12,0,0,0,0,0,0,0,1,27,3,19,15,24,13,0,6,23,1,29,0,16,3,0,14,0,31,9,0,55,6,27,20,40,3,8,9,40,0,19,5,3,11,9,7,5,0,63,13,0,7,7,6,10,17,9,0,0,25,26,28,38,0,2,0,19,14,1,15,33,5,37,0,19,26,0,0,22,9,0,0,0,36,21,38,0,11,10,30,0,7,14,11,26,19,0,0,11,7,9,38,0,5,16,0,49,21,0,0,5,15
2016-07-10,10,0,6,6,17,14,8,2,5,8,9,31,16,0,9,4,0,15,12,0,0,28,30,21,20,19,9,0,17,6,26,11,28,9,59,49,20,0,24,0,19,0,7,12,3,9,9,0,45,3,0,0,20,0,5,19,32,0,56,0,33,30,13,18,18,11,9,10,5,2,0,0,0,18,15,8,36,0,47,0,13,0,10,23,9,15,1,11,0,30,0,33,0,15,16,0,41,58,0,61,25,38,17,0,37,57,0,14,35,33,0,13,51,8,33,18,10,11,10,26,21,5,0,6,0,23,14,18,41,16,9,22,11,0,43,8,25,24,11,0,36,5,1,0,24,6,20,21,0,0,6,0,22,7,14,0,18,17,41,11,9,5,6,24,2,0,14,2,13,14,33,29,3,24,0,26,58,5,20,35,11,0,9,21,13,4,0,20,0,2,11,0,0,0,19,18,53,31,6,12,13,52,12,28,15,11,30,19,19,11,29,7,22,19,20,17,12,36,35,15,14,16,0,33,18,3,13,0,30,27,65,65,0,28,65,24,36,27,8,44,20,19,20,44,15,35,36,0,16,0,16,18,7,11,0,0,0,0,33,31,18,32,16,10,6,35,49,14,11,6,58,0,6,21,14,0,0,0,0,5,11,25,0,9,10,14,0,36,20,19,20,0,20,12,21,13,0,17,28,0,23,14,0,8,17,26,27,37,31,0,1,0,7,5,0,0,10,41,0,28,13,24,11,10,0,0,12,0,38,0,0,10,0,6,48,24,0,24,0,0,11,23,7,8,18,26,45,1,10,43,7,10,0,19,0,23,49,8,5,2,27,10,20,22,17,6,22,28,29,16,15,10,47,7,14,25,14,0,6,15,11,15,45,5,10,7,0,12,24,0,0,27,0,5,12,50,0,0,14,40,50,0,2,14,2,19,15,78,13,10,7,16,0,29,0,14,5,12,22,14,16,9,14,14,6,13,15,0,6,0,15,26,15,0,5,3,3,26,20,7,23,50,6,22,8,12,13,15,26,0,0,0,28,52,0,33,30,14,0,40,47,1,19,16,11,18,0,26,26,0,0,27,4,10,0,0,57,0,0,0,31,8,22,22,22,20,14,26,45,0,0,22,21,23,23,25,5,32,0,0,38,11,0,6,15
2016-07-17,7,0,6,6,0,14,10,2,14,16,19,16,17,13,9,7,0,16,12,0,0,100,27,16,21,20,8,0,0,3,33,29,36,14,60,44,16,0,31,3,13,17,21,4,10,12,15,0,51,3,49,0,20,13,10,6,8,0,0,0,11,32,0,6,9,7,10,22,16,3,0,0,0,30,16,6,0,0,0,0,13,6,5,23,9,7,0,17,0,40,5,17,27,46,16,38,31,30,10,37,18,53,18,44,37,0,0,8,36,0,25,41,52,10,21,10,32,0,0,32,24,3,21,23,0,22,5,9,17,12,19,4,4,20,40,5,0,48,5,3,9,3,0,0,28,10,7,32,13,32,6,20,36,40,10,0,18,0,57,11,48,16,4,24,2,16,4,0,27,0,17,34,3,28,0,35,39,6,20,0,11,100,10,22,0,4,8,10,0,11,34,1,0,35,20,12,36,0,6,15,15,39,14,0,13,0,23,19,25,14,30,7,0,20,42,71,12,0,0,19,14,19,0,34,26,3,13,0,29,27,11,44,0,31,79,48,27,0,0,30,0,19,20,28,19,18,55,7,33,33,0,28,7,0,0,8,34,0,16,11,23,38,11,10,12,39,35,7,5,7,100,0,5,7,11,0,5,14,0,16,6,0,0,18,0,15,0,0,28,26,19,0,20,25,18,12,0,4,29,0,16,19,8,8,12,27,33,20,32,0,1,0,5,11,49,65,35,0,0,10,13,54,19,15,21,9,35,16,24,0,13,2,0,9,10,49,0,20,0,0,14,28,25,8,27,2,30,1,10,22,5,13,7,0,0,37,10,0,22,5,14,31,27,0,0,4,14,30,0,16,33,11,31,7,29,23,14,0,9,31,16,46,11,6,15,28,24,6,12,0,0,21,17,6,19,76,0,0,0,0,0,0,2,14,3,19,10,34,8,40,5,40,2,25,15,21,16,12,34,0,16,28,69,7,17,14,8,0,7,0,15,27,15,0,0,3,8,18,41,10,0,38,33,23,8,2,13,5,0,9,8,0,26,26,9,41,61,8,0,33,62,2,12,25,12,19,0,27,0,0,0,19,9,21,0,0,45,21,13,0,15,9,15,0,15,11,14,0,36,2,4,11,14,14,31,0,5,81,3,0,14,0,27,2,15
2016-07-24,10,100,4,15,0,8,5,4,14,19,29,16,16,0,36,7,5,17,12,0,0,14,24,51,54,27,20,0,18,4,39,9,39,5,43,61,25,0,56,7,26,0,27,24,10,16,18,0,23,0,0,36,14,13,0,22,8,0,0,0,11,26,14,6,7,9,13,12,5,3,0,21,20,18,14,2,24,0,16,12,19,0,5,15,9,7,0,0,0,22,5,34,13,31,21,29,31,69,19,12,36,38,18,15,7,15,0,17,35,11,25,23,39,19,25,8,16,0,0,34,28,0,0,29,0,23,9,11,34,16,10,8,18,20,41,4,0,53,5,6,28,3,0,0,24,7,7,32,10,0,5,30,23,13,22,0,18,18,43,0,19,32,5,8,2,0,11,0,0,0,0,20,5,8,0,31,49,22,20,0,11,0,22,34,0,4,40,10,17,4,0,1,4,26,22,18,36,94,12,15,15,53,17,72,14,11,24,14,20,13,30,12,22,39,11,0,11,9,24,15,14,3,0,17,42,3,26,0,34,45,33,44,0,34,13,24,18,0,8,42,21,24,0,33,6,19,30,0,45,22,8,5,7,22,0,0,0,16,27,21,21,16,5,30,0,33,40,28,11,2,51,27,2,26,14,0,0,8,0,28,28,63,0,14,0,22,3,0,33,30,19,0,0,13,14,9,39,19,19,12,8,18,25,0,28,27,19,26,11,0,3,21,7,5,0,0,10,42,0,29,0,39,12,20,0,17,16,33,24,0,38,8,17,10,39,58,20,16,0,0,14,19,14,9,18,26,23,1,21,0,2,8,0,0,0,23,20,8,12,2,0,0,21,11,0,3,19,26,0,8,10,13,17,19,29,26,14,11,12,15,27,78,92,6,0,12,24,6,12,0,0,29,17,14,25,51,14,100,14,0,51,0,1,0,4,39,19,28,9,0,6,16,3,67,0,27,10,0,22,59,16,19,14,14,11,27,18,20,0,8,18,13,0,19,20,3,20,18,34,3,24,38,20,23,10,2,11,5,18,18,0,0,59,26,28,49,0,5,0,73,14,0,16,16,12,37,0,31,18,29,26,46,4,11,0,0,50,0,13,0,17,8,34,0,15,17,10,26,48,5,0,0,35,10,38,0,13,0,3,0,26,0,14,3,15
