,symbol,asv1,asv2,asv3,date1,date2,date3,quarter,year_end,qtr,eps_est,eps,release_time,result,slope1,slope2,slope3
0,MMM,7.8,12.5,12.5,2017-01-01,2017-02-01,2017-03-01,Q1,2017,03/2017,2.07,2.16,pre,1,-7.464900580709151e-07,6.17536594761171e-06,8.487097006489368e-07
1,MMM,10.8,11.5,16.0,2017-04-01,2017-05-01,2017-06-01,Q2,2017,06/2017,2.59,2.58,pre,-1,2.614071449523723e-06,1.5352825224402073e-06,2.534500655036491e-06
2,MMM,11.8,9.75,13.0,2017-07-01,2017-08-01,2017-09-01,Q3,2017,09/2017,2.21,2.33,pre,1,-4.284754176382816e-06,-1.517088642968926e-06,3.4081058599291128e-06
3,MMM,17.8,15.0,17.4,2017-10-01,2017-11-01,2017-12-01,Q4,2017,12/2017,2.03,2.1,pre,1,8.358565854265812e-06,2.990876346710494e-06,-2.043192512409863e-06
4,MMM,23.5,27.0,20.5,2018-01-01,2018-02-01,2018-03-01,Q1,2018,03/2018,2.5,2.5,pre,0,7.104076642593098e-06,9.227658166947328e-07,-7.456955660544111e-06
5,MMM,21.6,21.75,17.25,2018-04-01,2018-05-01,2018-06-01,Q2,2018,06/2018,2.59,2.59,pre,0,-7.4827034557668925e-06,-2.0962977622388096e-07,-3.7650459273427085e-06
6,MMM,19.8,22.75,17.4,2018-07-01,2018-08-01,2018-09-01,Q3,2018,09/2018,2.7,2.58,pre,-1,4.585990706721894e-06,1.256207995751932e-06,5.759969977150737e-07
7,MMM,21.75,16.0,17.4,2018-10-01,2018-11-01,2018-12-01,Q4,2018,12/2018,2.27,2.31,pre,1,-1.1793720863752315e-05,3.5678122904357496e-06,-8.482628409060016e-06
8,MMM,20.75,18.0,14.8,2019-01-01,2019-02-01,2019-03-01,Q1,2019,03/2019,2.489,2.23,pre,-1,3.262134875135593e-06,4.779205737009765e-06,1.5161762231097456e-06
9,MMM,39.25,33.75,28.6,2019-04-01,2019-05-01,2019-06-01,Q2,2019,06/2019,2.054,2.2,pre,1,-6.782745078365394e-06,-9.880934426808618e-06,4.800587395696093e-06
10,MMM,8.4,6.25,11.75,2016-07-01,2016-08-01,2016-09-01,Q3,2016,09/2016,2.14,2.15,pre,1,1.533029474730748e-06,5.963921140332897e-07,-1.355327993293596e-06
11,MMM,8.6,10.5,9.75,2016-10-01,2016-11-01,2016-12-01,Q4,2016,12/2016,1.87,1.88,pre,1,-2.892806438092537e-06,2.4358235040994215e-06,2.486505381588785e-06
12,AOS,10.4,12.5,16.5,2017-01-01,2017-02-01,2017-03-01,Q1,2017,03/2017,0.47,0.5,pre,1,4.939651501752313e-07,9.567782343206078e-07,5.947065762367239e-07
13,AOS,17.2,22.25,9.25,2017-04-01,2017-05-01,2017-06-01,Q2,2017,06/2017,0.53,0.53,pre,0,1.6631736989177584e-06,2.7577322252583666e-08,2.707982594605846e-07
14,AOS,14.4,18.0,13.0,2017-07-01,2017-08-01,2017-09-01,Q3,2017,09/2017,0.53,0.54,pre,1,-1.4713721895926088e-06,1.3274088978314332e-07,1.7009524633454028e-06
15,AOS,6.8,21.25,28.6,2017-10-01,2017-11-01,2017-12-01,Q4,2017,12/2017,0.56,0.6,pre,1,-3.8667880939945686e-07,1.1988492515176181e-06,-2.0171792822590494e-07
16,AOS,28.25,35.75,20.0,2018-01-01,2018-02-01,2018-03-01,Q1,2018,03/2018,0.58,0.6,pre,1,2.2947293737849894e-06,1.2969533762774066e-06,1.1486074101530031e-07
17,AOS,19.4,16.0,20.25,2018-04-01,2018-05-01,2018-06-01,Q2,2018,06/2018,0.62,0.66,pre,1,-3.572651389036471e-07,9.728761700053507e-07,-2.429611034368765e-06
18,AOS,6.6,20.25,28.6,2018-07-01,2018-08-01,2018-09-01,Q3,2018,09/2018,0.63,0.61,pre,-1,-2.8531908557355786e-07,1.3019433531076978e-07,-1.4198914660715234e-06
19,AOS,28.0,7.75,17.2,2018-10-01,2018-11-01,2018-12-01,Q4,2018,12/2018,0.71,0.74,pre,1,-3.7285794623456254e-06,-4.2507177884431373e-07,-1.1680288555951326e-06
20,AOS,35.5,27.0,22.0,2019-01-01,2019-02-01,2019-03-01,Q1,2019,03/2019,0.57,0.53,pre,-1,1.5820752513874394e-06,2.0187342857057233e-06,2.8142627499310953e-07
21,AOS,35.75,31.5,33.8,2019-04-01,2019-05-01,2019-06-01,Q2,2019,06/2019,0.629,0.61,pre,-1,4.4989027301822566e-07,-5.035884186908914e-06,1.7913281364368324e-06
22,AOS,31.8,14.5,14.25,2016-07-01,2016-08-01,2016-09-01,Q3,2016,09/2016,0.45,0.47,pre,1,2.358251386605917e-06,1.248806859458632e-06,1.2562748767302329e-06
23,AOS,30.0,9.0,14.0,2016-10-01,2016-11-01,2016-12-01,Q4,2016,12/2016,0.46,0.47,pre,1,-1.667699367761131e-05,1.7778299543025394e-06,-1.136128995545149e-06
24,ABT,5.4,5.5,4.25,2017-01-01,2017-02-01,2017-03-01,Q1,2017,03/2017,0.43,0.48,pre,1,4.414494618099157e-07,1.554207327512412e-06,-4.033218330865801e-07
25,ABT,3.6,2.0,4.5,2017-04-01,2017-05-01,2017-06-01,Q2,2017,06/2017,0.6,0.62,pre,1,-9.055181171166991e-08,1.5463921765474975e-07,1.1967454606992685e-06
26,ABT,3.6,3.75,4.0,2017-07-01,2017-08-01,2017-09-01,Q3,2017,09/2017,0.65,0.66,pre,1,9.794599694902718e-07,4.909084134436252e-07,7.202823814879351e-07
27,ABT,5.8,6.75,4.4,2017-10-01,2017-11-01,2017-12-01,Q4,2017,12/2017,0.73,0.74,pre,1,4.0697241844139187e-07,6.114535666388216e-07,1.2492779597714804e-06
28,ABT,7.0,7.0,6.25,2018-01-01,2018-02-01,2018-03-01,Q1,2018,03/2018,0.58,0.59,pre,1,1.7098090356470137e-06,2.4197341536067424e-07,-1.3591159150045632e-07
29,ABT,3.6,4.0,5.25,2018-04-01,2018-05-01,2018-06-01,Q2,2018,06/2018,0.71,0.73,pre,1,1.0488243662853224e-07,1.5763348322595298e-06,-1.0727952809360198e-06
30,ABT,3.8,4.0,5.2,2018-07-01,2018-08-01,2018-09-01,Q3,2018,09/2018,0.74,0.75,pre,1,1.8097639928973146e-06,9.596789759677874e-07,3.462015339107641e-06
31,ABT,6.75,4.25,6.0,2018-10-01,2018-11-01,2018-12-01,Q4,2018,12/2018,0.81,0.81,pre,0,-2.165483910112947e-06,9.94730739368262e-08,-1.1868925475765361e-06
